Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5),Revenue ($),Cost_Per_Student ($),Difficulty_Level,Completion_Status
1,Course_1,Office Tools,21,4217,50.65,Coursera,38.8,4.81,163619.6,0.01,Medium,Moderate
2,Course_2,Office Tools,57,4238,82.24,edX,160.65,3.83,680834.7,0.04,Long,High
3,Course_3,Technology,52,2700,55.73,LinkedIn Learning,123.5,4.85,333450.0,0.05,Long,Moderate
4,Course_4,Office Tools,69,4308,58.66,LinkedIn Learning,116.78,3.91,503088.24,0.03,Long,Moderate
5,Course_5,Technology,43,4792,62.6,Udemy,96.25,4.92,461230.0,0.02,Medium,Moderate
6,Course_6,Finance,66,3792,96.67,edX,127.51,3.25,483517.92,0.03,Long,High
7,Course_7,Marketing,29,2607,71.83,Coursera,155.54,4.1,405492.78,0.06,Medium,High
8,Course_8,Design,21,964,99.08,edX,79.94,3.09,77062.16,0.08,Medium,High
9,Course_9,Programming,57,1246,78.82,LinkedIn Learning,174.68,4.5,217651.28,0.14,Long,High
10,Course_10,Design,59,489,58.9,edX,82.09,3.34,40142.01,0.17,Long,Moderate
11,Course_11,Finance,80,3118,92.79,edX,194.05,3.72,605047.9,0.06,Long,High
12,Course_12,Data Science,88,1590,60.89,LinkedIn Learning,62.06,4.6,98675.4,0.04,Long,Moderate
13,Course_13,Programming,23,3681,85.88,Coursera,187.51,3.58,690224.31,0.05,Medium,High
14,Course_14,Programming,61,3096,91.33,edX,50.73,4.21,157060.08,0.02,Long,High
15,Course_15,Business,42,3272,81.32,LinkedIn Learning,194.84,3.71,637516.48,0.06,Medium,High
16,Course_16,Office Tools,40,1172,56.73,Coursera,24.67,3.05,28913.24,0.02,Medium,Moderate
17,Course_17,Programming,35,237,58.23,Udemy,60.79,3.16,14407.23,0.26,Medium,Moderate
18,Course_18,Technology,67,4418,96.34,LinkedIn Learning,147.76,3.53,652803.68,0.03,Long,High
19,Course_19,Finance,21,1548,90.77,edX,45.06,3.8,69752.88,0.03,Medium,High
20,Course_20,Marketing,17,2884,64.63,LinkedIn Learning,18.86,4.44,54392.24,0.01,Short,Moderate
21,Course_21,Office Tools,48,1025,93.51,LinkedIn Learning,19.11,4.27,19587.75,0.02,Medium,High
22,Course_22,Data Science,62,2673,92.44,Udemy,140.89,3.93,376598.97,0.05,Long,High
23,Course_23,Office Tools,30,1258,92.68,Coursera,135.3,4.58,170207.4,0.11,Medium,High
24,Course_24,Office Tools,64,2598,51.29,Udemy,66.15,3.53,171857.7,0.03,Long,Moderate
25,Course_25,AI,30,1076,84.12,Coursera,135.87,3.03,146196.12,0.13,Medium,High
26,Course_26,Finance,77,2996,62.6,Udemy,178.47,3.26,534696.12,0.06,Long,Moderate
27,Course_27,Office Tools,15,2940,78.8,Coursera,120.64,4.15,354681.6,0.04,Short,High
28,Course_28,Data Science,12,3613,53.06,Coursera,90.56,4.52,327193.28,0.03,Short,Moderate
29,Course_29,Marketing,95,4489,56.86,edX,159.11,3.57,714244.79,0.04,Long,Moderate
30,Course_30,Design,60,2855,64.7,Udemy,115.26,4.68,329067.3,0.04,Long,Moderate
31,Course_31,Marketing,47,2913,91.76,edX,113.62,3.56,330975.06,0.04,Medium,High
32,Course_32,Design,26,4502,79.64,LinkedIn Learning,144.85,4.03,652114.7,0.03,Medium,High
33,Course_33,Technology,52,2241,63.34,LinkedIn Learning,62.53,4.62,140129.73,0.03,Long,Moderate
34,Course_34,Business,14,974,61.33,edX,66.79,4.75,65053.46,0.07,Short,Moderate
35,Course_35,Programming,15,1025,74.98,LinkedIn Learning,171.68,3.87,175972.0,0.17,Short,High
36,Course_36,Office Tools,66,3603,86.39,Coursera,161.34,3.25,581308.02,0.04,Long,High
37,Course_37,Programming,16,2179,78.08,edX,158.74,3.67,345894.46,0.07,Short,High
38,Course_38,Finance,41,178,80.51,Udemy,153.09,4.8,27250.02,0.86,Medium,High
39,Course_39,AI,38,3989,66.4,Udemy,26.09,4.99,104073.01,0.01,Medium,Moderate
40,Course_40,Design,19,2883,55.63,Udemy,119.05,3.12,343221.15,0.04,Short,Moderate
41,Course_41,Marketing,88,2840,78.84,Udemy,36.01,3.27,102268.4,0.01,Long,High
42,Course_42,Technology,74,3265,53.0,Udemy,41.33,4.75,134942.45,0.01,Long,Moderate
43,Course_43,Technology,57,1736,50.5,Udemy,130.05,3.74,225766.8,0.07,Long,Moderate
44,Course_44,Data Science,75,2331,65.38,Coursera,172.9,4.51,403029.9,0.07,Long,Moderate
45,Course_45,Office Tools,98,3821,69.94,Udemy,117.93,4.72,450610.53,0.03,Long,Moderate
46,Course_46,Office Tools,22,2887,57.87,LinkedIn Learning,140.64,3.14,406027.68,0.05,Medium,Moderate
47,Course_47,Business,97,2772,50.57,edX,192.03,4.51,532307.16,0.07,Long,Moderate
48,Course_48,AI,73,3820,77.42,Coursera,149.56,4.45,571319.2,0.04,Long,High
49,Course_49,AI,36,3756,72.48,LinkedIn Learning,106.18,4.59,398812.08,0.03,Medium,High
50,Course_50,Programming,40,3089,52.07,Udemy,74.36,3.86,229698.04,0.02,Medium,Moderate
51,Course_51,Design,50,2360,90.29,Udemy,187.16,4.82,441697.6,0.08,Medium,High
